(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(115, 80, 88)
(115, 80, 88)
(115, 80, 88)
(115, 80, 88)
(115, 80, 88)
(115, 80, 88)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(116, 89, 56)
(116, 89, 56)
(116, 89, 56)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(108, 80, 89)
(108, 80, 89)
(108, 80, 89)
(108, 80, 89)
(108, 80, 89)
(108, 80, 89)
(108, 80, 89)
(108, 80, 89)
(108, 80, 89)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(109, 69, 73)
(109, 69, 73)
(109, 69, 73)
(109, 69, 73)
(109, 69, 73)
(109, 69, 73)
(109, 69, 73)
(109, 69, 73)
(109, 69, 73)
(109, 69, 73)
(109, 69, 73)
(109, 69, 73)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(114, 49, 79)
(114, 49, 79)
(114, 49, 79)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(121, 51, 70)
(121, 51, 70)
(121, 51, 70)
(121, 51, 70)
(121, 51, 70)
(121, 51, 70)
(121, 51, 70)
(121, 51, 70)
(121, 51, 70)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(115, 80, 48)
(115, 80, 48)
(115, 80, 48)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(101, 81, 90)
(101, 81, 90)
(101, 81, 90)
(101, 81, 90)
(101, 81, 90)
(101, 81, 90)
(101, 81, 90)
(101, 81, 90)
(101, 81, 90)
(101, 81, 90)
(101, 81, 90)
(101, 81, 90)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(103, 56, 80)
(103, 56, 80)
(103, 56, 80)
(103, 56, 80)
(103, 56, 80)
(103, 56, 80)
(103, 56, 80)
(103, 56, 80)
(103, 56, 80)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(122, 57, 52)
(122, 57, 52)
(122, 57, 52)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(117, 76, 83)
(117, 76, 83)
(117, 76, 83)
(117, 76, 83)
(117, 76, 83)
(117, 76, 83)
(117, 76, 83)
(117, 76, 83)
(117, 76, 83)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(104, 84, 56)
(104, 84, 56)
(104, 84, 56)
(104, 84, 56)
(104, 84, 56)
(104, 84, 56)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(101, 71, 72)
(101, 71, 72)
(101, 71, 72)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(122, 48, 86)
(122, 48, 86)
(122, 48, 86)
(122, 48, 86)
(122, 48, 86)
(122, 48, 86)
(122, 48, 86)
(122, 48, 86)
(122, 48, 86)
(122, 48, 86)
(122, 48, 86)
(122, 48, 86)
(255, 255, 255)
(255, 255, 255)
